# ENERGY SUPPLY GROUP 28,
# Wind park in Luxemburg with 140 turbines.,
#,
# time [s], power [MW]
1226700,0
1227600,2.307419
1228500,2.307419
1229400,4.768612
1230300,4.768612
1231200,7.388537
1232100,7.388537
1233000,10.172157
1233900,10.172157
1234800,10.172157
1235700,13.12443
1236600,13.12443
1237500,16.250318
1238400,16.250318
1239300,19.554781
1240200,19.554781
1241100,19.554781
1242000,23.042779
1242900,23.042779
1243800,23.042779
1244700,26.719273
1245600,26.719273
1246500,30.589223
1247400,30.589223
1248300,34.657589
1249200,34.657589
1250100,38.929333
1251000,43.409414
1251900,43.409414
1252800,48.102793
1253700,48.102793
1254600,53.01443
1255500,53.01443
1256400,53.01443
1257300,48.102793
1258200,48.102793
1259100,43.409414
1260000,38.929333
1260900,34.657589
1261800,30.589223
1262700,26.719273
1263600,23.042779
1264500,23.042779
1265400,23.042779
1266300,23.042779
1267200,23.042779
1268100,26.719273
1269000,30.589223
1269900,30.589223
1270800,34.657589
1271700,34.657589
1272600,34.657589
1273500,34.657589
1274400,34.657589
1275300,34.657589
1276200,34.657589
1277100,34.657589
1278000,34.657589
1278900,30.589223
1279800,30.589223
1280700,30.589223
1281600,30.589223
1282500,26.719273
1283400,26.719273
1284300,23.042779
1285200,23.042779
1286100,23.042779
1287000,19.554781
1287900,19.554781
1288800,19.554781
1289700,19.554781
1290600,19.554781
1291500,19.554781
1292400,19.554781
1293300,19.554781
1294200,19.554781
1295100,19.554781
1296000,16.250318
1296900,13.12443
1297800,13.12443
1298700,10.172157
1299600,10.172157
1300500,10.172157
1301400,7.388537
1302300,7.388537
1303200,4.768612
1304100,4.768612
1305000,4.768612
1305900,4.768612
1306800,4.768612
1307700,2.307419
1308600,2.307419
1309500,2.307419
1310400,2.307419
1311300,2.307419
1312200,2.307419
1313100,2.307419
1314000,2.307419
1314900,2.307419
1315800,4.768612
1316700,4.768612
1317600,4.768612
1318500,4.768612
1319400,7.388537
1320300,7.388537
1321200,7.388537
1322100,7.388537
1323000,10.172157
1323900,10.172157
1324800,13.12443
1325700,16.250318
1326600,19.554781
1327500,23.042779
1328400,30.589223
1329300,30.589223
1330200,34.657589
1331100,38.929333
1332000,43.409414
1332900,43.409414
1333800,43.409414
1334700,48.102793
1335600,48.102793
1336500,48.102793
1337400,48.102793
1338300,48.102793
1339200,43.409414
1340100,43.409414
1341000,43.409414
1341900,38.929333
1342800,38.929333
1343700,30.589223
1344600,26.719273
1345500,19.554781
1346400,16.250318
1347300,10.172157
1348200,4.768612
1349100,0
1350000,0
1350900,0
1351800,0
1352700,2.307419
1353600,4.768612
1354500,7.388537
1355400,10.172157
1356300,13.12443
1357200,16.250318
1358100,19.554781
1359000,23.042779
1359900,23.042779
1360800,26.719273
1361700,30.589223
1362600,34.657589
1363500,43.409414
1364400,48.102793
1365300,48.102793
1366200,53.01443
1367100,58.149286
1368000,58.149286
1368900,63.51232
1369800,63.51232
1370700,63.51232
1371600,63.51232
1372500,63.51232
1373400,69.108495
1374300,69.108495
1375200,69.108495
1376100,74.942769
1377000,81.020103
1377900,81.020103
1378800,87.345458
1379700,87.345458
1380600,87.345458
1381500,87.345458
1382400,107.859253
1383300,115.226295
1384200,122.86616
1385100,130.783808
1386000,147.472296
1386900,130.783808
1387800,122.86616
1388700,115.226295
1389600,107.859253
1390500,93.923795
1391400,81.020103
1392300,63.51232
1393200,53.01443
1394100,43.409414
1395000,34.657589
1395900,26.719273
1396800,19.554781
1397700,19.554781
1398600,16.250318
1399500,13.12443
1400400,13.12443
1401300,10.172157
1402200,10.172157
1403100,10.172157
1404000,10.172157
1404900,10.172157
1405800,13.12443
1406700,16.250318
1407600,16.250318
1408500,23.042779
1409400,30.589223
1410300,34.657589
1411200,43.409414
1412100,53.01443
1413000,63.51232
1413900,74.942769
1414800,87.345458
1415700,87.345458
1416600,93.923795
1417500,100.760073
1418400,107.859253
1419300,115.226295
1420200,115.226295
1421100,122.86616
1422000,122.86616
1422900,130.783808
1423800,130.783808
1424700,138.9842
1425600,138.9842
1426500,138.9842
1427400,138.9842
1428300,138.9842
1429200,138.9842
1430100,138.9842
1431000,138.9842
1431900,138.9842
1432800,138.9842
1433700,130.783808
1434600,122.86616
1435500,107.859253
1436400,100.760073
1437300,93.923795
1438200,87.345458
1439100,81.020103
1440000,74.942769
1440900,74.942769
1441800,74.942769
1442700,69.108495
1443600,69.108495
1444500,63.51232
1445400,58.149286
1446300,58.149286
1447200,53.01443
1448100,53.01443
1449000,53.01443
1449900,48.102793
1450800,48.102793
1451700,48.102793
1452600,48.102793
1453500,48.102793
1454400,48.102793
1455300,43.409414
1456200,43.409414
1457100,38.929333
1458000,38.929333
1458900,34.657589
1459800,34.657589
1460700,30.589223
1461600,30.589223
1462500,26.719273
1463400,23.042779
1464300,23.042779
1465200,19.554781
1466100,19.554781
1467000,19.554781
1467900,19.554781
1468800,7.388537
1469700,7.388537
1470600,7.388537
1471500,4.768612
1472400,4.768612
1473300,2.307419
1474200,2.307419
1475100,0
1476000,0
1476900,0
1477800,0
1478700,0
1479600,0
1480500,0
1481400,0
1482300,0
1483200,0
1484100,0
1485000,0
1485900,0
1486800,0
1487700,0
1488600,0
1489500,0
1490400,0
1491300,0
1492200,0
1493100,0
1494000,0
1494900,0
1495800,0
1496700,0
1497600,0
1498500,0
1499400,0
1500300,0
1501200,0
1502100,0
1503000,0
1503900,0
1504800,0
1505700,0
1506600,0
1507500,0
1508400,0
1509300,0
1510200,0
1511100,0
1512000,0
1512900,0
1513800,0
1514700,0
1515600,0
1516500,0
1517400,0
1518300,0
1519200,0
1520100,0
1521000,0
1521900,0
1522800,0
1523700,0
1524600,0
1525500,0
1526400,0
1527300,0
1528200,0
1529100,0
1530000,0
1530900,0
1531800,0
1532700,0
1533600,0
1534500,0
1535400,0
1536300,0
1537200,0
1538100,0
1539000,0
1539900,0
1540800,0
1541700,0
1542600,0
1543500,0
1544400,0
1545300,0
1546200,0
1547100,0
1548000,0
1548900,0
1549800,0
1550700,0
1551600,0
1552500,0
1553400,0
1554300,0
1555200,0
1556100,0
1557000,0
1557900,0
1558800,0
1559700,0
1560600,0
1561500,0
1562400,0
1563300,0
